State,Governor_2010,Governor_2011,Governor_2012,Governor_2013,Governor_2014,Governor_2015,Governor_2016,Legislature_2010,Legislature_2011,Legislature_2012,Legislature_2013,Legislature_2014,Legislature_2015,Legislature_2016
Alabama,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Republican,Republican,Republican,Republican,Republican,Republican
Alaska,Republican,Republican,Republican,Republican,Republican,Independent,Independent,Split,Split,Split,Republican,Republican,Republican,Republican
Arizona,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Arkansas,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Democrat,Democrat,Republican,Republican,Republican,Republican
California,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Colorado,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Split,Split,Democrat,Democrat,Split,Split
Connecticut,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
District of Columbia..,,,,,,,,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Florida,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Georgia,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Hawaii,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Idaho,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Illinois,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Indiana,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Split,Republican,Republican,Republican,Republican,Republican,Republican
Iowa,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Split,Split,Split,Split,Split,Split
Kansas,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Kentucky,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Split,Split,Split,Split,Split,Split,Split
Louisiana,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Democrat,Split,Republican,Republican,Republican,Republican,Republican
Maine,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Republican,Republican,Democrat,Democrat,Split,Split
Maryland,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Massachusetts,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Michigan,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Split,Republican,Republican,Republican,Republican,Republican,Republican
Minnesota,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican,Republican,Split,Split
Mississippi,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Democrat,Republican,Republican,Republican,Republican,Republican
Missouri,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Montana,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Split,Republican,Republican,Republican,Republican,Republican,Republican
Nebraska,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Unicameral,Unicameral,Unicameral,Unicameral,Unicameral,Unicameral,Unicameral
Nevada,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Republican
New Hampshire,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Split,Split,Republican,Republican
New Jersey,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
New Mexico,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Split,Split
New York,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Split,Split,Democrat,Democrat,Split,Split
North Carolina,Democrat,Democrat,Democrat,Republican,Republican,Republican,Republican,Democrat,Republican,Republican,Republican,Republican,Republican,Republican
North Dakota,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Ohio,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Split,Republican,Republican,Republican,Republican,Republican,Republican
Oklahoma,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Oregon,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Split,Split,Democrat,Democrat,Democrat,Democrat
Pennsylvania,Republican,Republican,Republican,Republican,Republican,Democrat,Democrat,Split,Republican,Republican,Republican,Republican,Republican,Republican
Rhode Island,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
South Carolina,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
South Dakota,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Tennessee,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Texas,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Utah,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
Vermont,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat
Virginia,Republican,Republican,Republican,Republican,Democrat,Democrat,Democrat,Split,Split,Split,Split,Split,Split,Split
Washington,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Split,Split
West Virginia,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Split,Split,Democrat,Split,Republican,Republican
Wisconsin,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Democrat,Republican,Republican,Republican,Republican,Republican,Republican
Wyoming,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican,Republican
,,,,,,,,,,,,,,
